
Index,Match Result,Hero_1,Hero_2,Hero_3,Hero_4,Hero_5
137,Victory,Wanwan,Kadita,Hanzo,Aldous,Johnson
138,Victory,Melissa,Kadita,Badang,Hanzo,Johnson
139,Victory,Wanwan,Kadita,Aldous,Hanzo,Johnson
140,Victory,Wanwan,Aldous,Kadita,Johnson,Hanzo
141,Victory,Wanwan,Aldous,Kadita,Aamon,Grock
142,Defeat,Wanwan,Aldous,Kadita,Johnson,Hanzo
143,Victory,Wanwan,Hanzo,Kadita,Aldous,Johnson
144,Victory,Wanwan,Kadita,Hanzo,Aldous,Johnson
145,Victory,Wanwan,Hanzo,Kadita,Johnson,Aldous
146,Victory,Claude,Kadita,Hanzo,Aldous,Johnson
147,Victory,Wanwan,Kadita,Johnson,Aldous,Hanzo
148,Defeat,Melissa,Aldous,Valentina,Hanzo,Khufra
149,Victory,Estes,Brody,Minsitthar,Xavier,Fanny
150,Defeat,Fanny,Estes,Grock,Moskov,Yve
151,Victory,Pharsa,Hayabusa,Gloo,Beatrix,Estes
152,Victory,Gloo,Minotaur,Moskov,Xavier,Ling
153,Victory,Estes,Pharsa,Julian,Khaleed,Brody
154,Defeat,Wanwan,Alice,Estes,Lapu-Lapu,Nana
155,Victory,Gloo,Yi Sun-shin,Moskov,Xavier,Estes
156,Victory,Melissa,Benedetta,Lolita,Ling,Luo Yi
157,Victory,Fanny,Esmeralda,Kagura,Brody,Grock
158,Defeat,Pharsa,Beatrix,Dyrroth,Yi Sun-shin,Estes
159,Defeat,Moskov,Aamon,Chou,Estes,Odette
160,Victory,Faramis,Brody,Estes,Lapu-Lapu,Lancelot
161,Victory,Vale,Estes,Terizla,Clint,Yi Sun-shin
162,Victory,Vale,Estes,Terizla,Clint,Yi Sun-shin
163,Defeat,Beatrix,Yin,Valentina,Silvanna,Layla
164,Victory,Arlott,Franco,Harley,Wanwan,Nana
165,Victory,Melissa,Harley,Franco,Yin,Kagura
166,Defeat,Pharsa,Valir,Thamuz,Paquito,Brody
167,Victory,Faramis,Hanabi,Lapu-Lapu,Harley,Julian
168,Victory,Harley,Brody,Johnson,Aldous,Luo Yi
169,Defeat,Beatrix,Dyrroth,Yve,Lolita,Martis
170,Victory,Arlott,Gatotkaca,Martis,Miya,Harley
171,Defeat,Clint,Jawhead,Lylia,Franco,Fanny
172,Victory,Harley,Brody,Vexana,Martis,Chou
173,Victory,Joy,Vale,Minsitthar,Claude,Harley
174,Victory,Edith,Harley,Clint,Akai,Vale
175,Defeat,Beatrix,Franco,Cecilion,Aldous,Harley
176,Defeat,Minsitthar,Julian,Hanabi,Cyclops,Harley
177,Defeat,Minsitthar,Brody,Harley,Lapu-Lapu,Lunox
178,Defeat,Franco,Ling,Grock,Harley,Beatrix
179,Victory,Claude,Pharsa,Uranus,Franco,Aamon
180,Victory,Kagura,Harley,Claude,Esmeralda,Kaja
181,Defeat,Claude,Valentina,Harley,Floryn,Roger
182,Defeat,Brody,Terizla,Lolita,Harley,Gord
183,Defeat,Brody,Khufra,Nana,Roger,Xavier
184,Victory,Kaja,Edith,Pharsa,Brody,Yin
185,Defeat,Xavier,Freya,Estes,Lesley,Lancelot
186,Defeat,Edith,Hanzo,Brody,Lunox,Khufra
187,Victory,Martis,Leomord,Brody,Nana,Change
188,Victory,Arlott,Harley,Miya,Atlas,Nana
189,Victory,Arlott,Minotaur,Beatrix,Minsitthar,Xavier
190,Victory,Johnson,Nana,Dyrroth,Brody,Saber
191,Victory,Arlott,Julian,Franco,Beatrix,Lancelot
192,Defeat,Arlott,Moskov,Yve,Argus,Angela
193,Victory,Lylia,Aldous,Natalia,Alucard,Hanabi
194,Defeat,Joy,X.Borg,Pharsa,Selena,Lesley
195,Defeat,Eudora,Kaja,Brody,Ruby,Fredrinn
196,Defeat,Arlott,Claude,Khufra,Lancelot,Zhask
197,Victory,Vale,X.Borg,Franco,Brody,Fanny
198,Defeat,Hanabi,Franco,Valentina,Lapu-Lapu,Saber
199,Victory,Kaja,Joy,Yin,Claude,Harley
200,Victory,Karrie,Xavier,Gloo,Aulus,Diggie
201,Victory,Valentina,Popol and Kupa,Baxia,Saber,Lapu-Lapu
202,Victory,Baxia,Xavier,Natalia,Popol and Kupa,Alice
203,Defeat,Valentina,Jawhead,Claude,Baxia,Kadita
204,Victory,Alice,Beatrix,Baxia,Xavier,Selena
205,Defeat,Lancelot,Hanabi,Kaja,Nana,Bane
206,Victory,Xavier,Chou,Martis,Edith,Beatrix
207,Victory,Franco,Cecilion,Beatrix,Martis,Chou
208,Victory,Valentina,Baxia,Selena,Chou,Brody
209,Victory,Melissa,Pharsa,Edith,Natalia,Baxia
210,Victory,Gloo,Beatrix,Julian,Yi Sun-shin,Yve
211,Victory,Wanwan,Lapu-Lapu,Lylia,Hayabusa,Baxia
212,Victory,Valentina,Brody,Baxia,Lapu-Lapu,Franco
213,Defeat,Valentina,Baxia,Miya,Esmeralda,Jawhead
214,Victory,Xavier,Hanabi,Baxia,Claude,Franco
215,Defeat,Valentina,Roger,Kaja,Edith,Wanwan
216,Defeat,Diggie,Valir,Xavier,Aamon,Irithel
217,Victory,Valentina,Estes,Dyrroth,Claude,Baxia
218,Victory,Martis,Xavier,Kaja,Lesley,Alice
219,Victory,Mathilda,Baxia,Minsitthar,Hanabi,Yve
220,Victory,Valentina,Claude,Franco,Baxia,Aldous
221,Victory,Lancelot,Kaja,Lunox,Moskov,Uranus
222,Victory,Alice,Uranus,Yve,Karrie,Angela
223,Victory,Minsitthar,Brody,Ling,Uranus,Xavier
224,Victory,Minsitthar,Luo Yi,Natalia,Clint,Lancelot
225,Victory,Guinevere,Aurora,Clint,Ling,Eudora
226,Victory,Cyclops,Moskov,Lancelot,Selena,Uranus
227,Victory,Uranus,Popol and Kupa,Luo Yi,Minotaur,Martis
228,Victory,Melissa,Uranus,Lancelot,Estes,Lunox
229,Victory,Minsitthar,Uranus,Martis,Cecilion,Hanabi
230,Defeat,Faramis,Minsitthar,Alucard,Lesley,Cecilion
231,Defeat,Brody,Khufra,Kagura,Lapu-Lapu,Yi Sun-shin
232,Victory,Harley,Cecilion,Selena,Lapu-Lapu,Hanabi
233,Defeat,Estes,Popol and Kupa,Uranus,Vale,Fredrinn
234,Victory,Melissa,Kagura,Ling,Khufra,Uranus
235,Victory,Pharsa,Wanwan,Khufra,Uranus,Fanny
236,Victory,Julian,Uranus,Cecilion,Brody,Atlas
237,Victory,Estes,Uranus,Xavier,Beatrix,Lancelot
238,Defeat,Lunox,Minsitthar,Fanny,Layla,Badang
239,Victory,Joy,Khaleed,Aamon,Layla,Mathilda
240,Victory,Kaja,Yin,Terizla,Xavier,Layla
241,Victory,Kaja,Terizla,Lancelot,Lunox,Layla
242,Victory,Harley,Kaja,Lancelot,Terizla,Layla
243,Victory,Irithel,Atlas,Khaleed,Aamon,Kagura
244,Defeat,Xavier,Khufra,Khaleed,Lancelot,Layla
245,Victory,Xavier,Yi Sun-shin,Khufra,Layla,Khaleed
246,Defeat,Layla,Brody,Valentina,Rafaela,Fanny
247,Victory,Xavier,Lapu-Lapu,Lolita,Layla,Fanny
248,Victory,Valentina,Aamon,Khufra,Jawhead,Layla
249,Victory,Joy,Diggie,Hayabusa,Khufra,Layla
250,Victory,Yve,Ling,Lapu-Lapu,Franco,Brody
251,Victory,Pharsa,Layla,Minsitthar,Hayabusa,Esmeralda
252,Defeat,Valentina,Atlas,Zilong,Hayabusa,Layla
253,Victory,Minsitthar,Xavier,Layla,Hayabusa,Khufra
254,Victory,Xavier,Franco,Hayabusa,Layla,Edith
255,Defeat,Wanwan,Lolita,Minsitthar,Dyrroth,Kimmy
256,Victory,Joy,Lolita,Thamuz,Layla,Chou
257,Victory,Martis,Layla,Diggie,Kagura,Masha
258,Victory,Pharsa,Lapu-Lapu,Wanwan,Khufra,Harley
259,Defeat,Lancelot,Yu Zhong,Kadita,Johnson,Brody
260,Defeat,Aamon,Franco,Claude,Lapu-Lapu,Harley
261,Victory,Melissa,Minsitthar,Lapu-Lapu,Harley,Harith
262,Victory,Franco,Hanzo,Kaja,Wanwan,Harley
263,Victory,Franco,Harley,Lancelot,Claude,Kimmy
264,Victory,Khufra,Harley,Pharsa,Lesley,Esmeralda
265,Defeat,Beatrix,Julian,Freya,Khufra,Nana
266,Defeat,Faramis,Alucard,Brody,Harley,Khaleed
267,Victory,Harley,Yi Sun-shin,Tigreal,Badang,Moskov
268,Defeat,Alpha,Kadita,Arlott,Beatrix,Lunox
269,Victory,Moskov,Khufra,Valentina,Fredrinn,Harley
270,Victory,Valentina,Minsitthar,Aldous,Harley,Brody
271,Victory,Kagura,Hanzo,Freya,Lapu-Lapu,Brody
272,Victory,Minsitthar,Yi Sun-shin,Grock,Beatrix,Xavier
273,Victory,Faramis,Kadita,Claude,Lapu-Lapu,Harley
274,Victory,Moskov,Khufra,Harley,Freya,Vale
275,Victory,Faramis,Freya,Yi Sun-shin,Harley,Irithel
276,Victory,Cecilion,Franco,Terizla,Harley,Wanwan
277,Defeat,Beatrix,Mathilda,Paquito,Helcurt,Yve
278,Victory,Faramis,Hanabi,Yu Zhong,Hayabusa,Atlas
279,Victory,Minsitthar,Saber,Cecilion,Mathilda,Claude
280,Defeat,Joy,Hanabi,Pharsa,Yi Sun-shin,Mathilda
281,Defeat,Edith,Claude,Vale,Hilda,Martis
282,Victory,Valir,Lesley,Mathilda,Hayabusa,X.Borg
283,Victory,Badang,Beatrix,Lunox,Selena,Ling
284,Defeat,Melissa,Lapu-Lapu,Martis,Tigreal,Xavier
285,Defeat,Edith,Claude,Valir,Mathilda,Aamon
286,Victory,Martis,Minsitthar,Kagura,Mathilda,Moskov
287,Defeat,Beatrix,Kagura,Yu Zhong,Edith,Luo Yi
288,Victory,Joy,Ruby,Claude,Mathilda,Xavier
289,Defeat,Mathilda,Moskov,Kagura,Lancelot,Gatotkaca
290,Victory,Valir,Balmond,Wanwan,Hayabusa,Mathilda
291,Defeat,Selena,Kagura,Edith,Martis,Saber
292,Defeat,Valentina,Mathilda,Akai,Beatrix,Badang
293,Victory,Jawhead,Lesley,X.Borg,Vale,Mathilda
294,Defeat,Diggie,Hayabusa,Brody,Jawhead,Kagura
295,Victory,Minsitthar,Gusion,Franco,Claude,Odette
296,Victory,Xavier,Clint,Fanny,Yu Zhong,Mathilda
297,Defeat,Kagura,Argus,Beatrix,Natalia,Karina
298,Victory,Terizla,Kimmy,Pharsa,Moskov,Aldous
299,Defeat,Minsitthar,Karrie,Bruno,Pharsa,Angela
300,Victory,Kimmy,Grock,Popol and Kupa,Hanzo,Thamuz
301,Defeat,Hayabusa,Aldous,Kaja,Kimmy,Moskov
302,Defeat,Lylia,Fredrinn,Aldous,Moskov,Diggie
303,Victory,Aldous,Granger,Moskov,Kagura,Khufra
304,Victory,Kagura,Aldous,Natalia,Claude,Martis
305,Victory,Valentina,Julian,Kaja,Lapu-Lapu,Claude
306,Victory,Moskov,Lunox,Gloo,Fredrinn,Chou
307,Defeat,Gloo,Hayabusa,Franco,Karrie,Pharsa
308,Victory,Pharsa,Fredrinn,Wanwan,Chou,Minsitthar
309,Defeat,Arlott,Alice,Julian,Grock,Moskov
310,Victory,Khufra,Karrie,X.Borg,Pharsa,Julian
311,Victory,Chou,Valentina,Julian,Esmeralda,Moskov
312,Victory,Minotaur,Minsitthar,Pharsa,Moskov,Ling
313,Defeat,Faramis,Fredrinn,Franco,Kimmy,Minsitthar
314,Victory,Fredrinn,Moskov,X.Borg,Kadita,Luo Yi
315,Victory,Arlott,Fredrinn,Pharsa,Claude,Angela
316,Victory,Estes,Valentina,Minsitthar,Pharsa,Moskov
317,Defeat,Pharsa,Esmeralda,Julian,Moskov,Kaja
318,Victory,Wanwan,Yu Zhong,Ling,Grock,Valentina
319,Victory,Wanwan,Yve,Yu Zhong,Fredrinn,Diggie
320,Victory,Lunox,Lolita,Edith,Fanny,Wanwan
321,Victory,Gloo,Xavier,Atlas,Lancelot,Wanwan
322,Victory,Wanwan,Lapu-Lapu,Kaja,Xavier,Lancelot
323,Victory,Kaja,Xavier,Fredrinn,Ling,Moskov
324,Victory,Brody,Terizla,Kaja,Yve,Ling
325,Victory,Kaja,Pharsa,Gloo,Brody,Ling
326,Victory,Wanwan,Franco,Chou,Xavier,Edith
327,Victory,Wanwan,Valentina,Kaja,Lapu-Lapu,Lancelot
328,Victory,Wanwan,Pharsa,Kaja,Lapu-Lapu,Chou
329,Victory,Valentina,Wanwan,Kaja,Lapu-Lapu,Hayabusa
330,Victory,Lolita,Fredrinn,Gloo,Wanwan,Pharsa
331,Victory,Joy,Wanwan,Fredrinn,Minotaur,Pharsa
332,Victory,Yve,Khaleed,Kaja,Wanwan,Fanny
333,Victory,Wanwan,Terizla,Minotaur,Valentina,Lancelot
334,Victory,Valentina,Lapu-Lapu,Kaja,Brody,Lancelot
335,Victory,Kaja,Lancelot,Masha,Julian,Melissa
336,Victory,Lunox,Franco,Yu Zhong,Wanwan,Fredrinn
337,Defeat,Melissa,Lancelot,Lolita,Minsitthar,Yve
338,Defeat,Wanwan,Aldous,Hanzo,Valentina,Grock
339,Victory,Wanwan,Johnson,Kadita,Aldous,Aamon
340,Defeat,Wanwan,Grock,Harith,Aamon,Aldous
341,Victory,Kadita,Johnson,Wanwan,Aldous,Hanzo
342,Victory,Wanwan,Hanzo,Johnson,Kadita,Aldous
343,Victory,Melissa,Johnson,Hanzo,Aldous,Kadita
344,Victory,Wanwan,Hanzo,Kadita,Johnson,Aldous
345,Victory,Wanwan,Johnson,Aldous,Hanzo,Kadita
346,Victory,Melissa,Kadita,Hanzo,Aldous,Johnson
347,Victory,Wanwan,Kadita,Aldous,Hanzo,Johnson
348,Victory,Wanwan,Kadita,Hanzo,Aldous,Johnson
349,Victory,Wanwan,Kadita,Hanzo,Aldous,Johnson
350,Victory,Wanwan,Aldous,Grock,Kadita,Hanzo
351,Victory,Wanwan,Kadita,Hanzo,Aldous,Johnson
352,Victory,Wanwan,Aldous,Hanzo,Julian,Johnson
353,Victory,Wanwan,Kadita,Hanzo,Aldous,Johnson
354,Victory,Wanwan,Kadita,Aldous,Hanzo,Johnson
355,Victory,Wanwan,Johnson,Aamon,Aldous,Kadita
356,Defeat,Franco,Badang,Lunox,Brody,Hayabusa
357,Victory,Wanwan,Hayabusa,Valentina,Edith,Atlas
358,Defeat,Yin,Xavier,Karrie,Lolita,Martis
359,Defeat,Valentina,Johnson,Hanabi,Gloo,Lancelot
360,Victory,Aldous,Estes,Moskov,Lapu-Lapu,Lunox
361,Defeat,Lapu-Lapu,Valir,Martis,Lesley,Franco
362,Victory,Xavier,Lesley,Gloo,Belerick,Alice
363,Victory,Fredrinn,Lylia,Karrie,Yve,Aldous
364,Victory,Karrie,Aldous,Vexana,Selena,Lapu-Lapu
365,Defeat,Melissa,Aldous,Khufra,Martis,Valir
366,Victory,Xavier,Aldous,Jawhead,Khufra,Miya
367,Defeat,Fanny,Karrie,Franco,Jawhead,Xavier
368,Defeat,Karrie,Kadita,Hayabusa,Cecilion,Aldous
369,Victory,Faramis,Aldous,Lancelot,Rafaela,Karrie
370,Defeat,Joy,Faramis,Valir,Lancelot,Karrie
371,Defeat,Granger,Claude,Aldous,Khufra,Change
372,Defeat,Joy,Claude,Khufra,Jawhead,Pharsa
373,Victory,Aldous,Kadita,Karrie,Lancelot,Kaja
374,Victory,Karrie,Lolita,Terizla,Ling,Xavier
375,Victory,Karrie,Aldous,Lancelot,Valentina,Lolita
376,Defeat,Hanabi,Aldous,Chou,Nana,Esmeralda
377,Defeat,Kagura,Badang,Brody,Aamon,Lolita
378,Defeat,Kadita,Gloo,Julian,Atlas,Natan
379,Victory,Clint,Minsitthar,Kadita,Lolita,Esmeralda
380,Victory,Edith,Brody,Gusion,Gord,Atlas
381,Defeat,Kadita,Johnson,Layla,Yu Zhong,Alucard
382,Victory,Kadita,Lesley,Johnson,Aldous,Leomord
383,Victory,Brody,Edith,Valir,Kadita,Freya
384,Defeat,Sun,Brody,Cecilion,Saber,Gusion
385,Defeat,Brody,Minsitthar,Aldous,Martis,Eudora
386,Victory,Arlott,Brody,Hayabusa,Lolita,Kadita
387,Defeat,Minotaur,Freya,Claude,Kadita,Yi Sun-shin
388,Defeat,Hanabi,Chou,Estes,Kadita,Helcurt
389,Victory,Angela,Aldous,Brody,Harley,Kadita
390,Defeat,Johnson,Gloo,Kadita,Claude,Balmond
391,Defeat,Kadita,Atlas,Badang,Fanny,Moskov
392,Victory,Brody,Kadita,Selena,Aldous,Akai
393,Victory,Joy,X.Borg,Wanwan,Johnson,Kadita
394,Victory,Kadita,Johnson,Lesley,Hayabusa,Thamuz
395,Victory,Edith,Hayabusa,Vale,Beatrix,Chou
396,Defeat,Melissa,Valentina,Harley,Estes,Edith
397,Victory,Pharsa,Martis,Minsitthar,Edith,Miya
398,Victory,Edith,Odette,Fredrinn,Brody,Masha
399,Defeat,Minsitthar,Brody,Edith,Lancelot,Kimmy
400,Victory,Gloo,Edith,Hanzo,Brody,Xavier
401,Defeat,Lancelot,Angela,Edith,Vale,Lesley
402,Victory,Edith,Xavier,Moskov,Kaja,Lancelot
403,Defeat,Edith,Julian,Lolita,Hanzo,Beatrix
404,Victory,Edith,Zhask,Clint,Yi Sun-shin,Carmilla
405,Defeat,Edith,Beatrix,Valentina,Estes,Julian
406,Victory,Edith,Xavier,Popol and Kupa,Estes,Kimmy
407,Victory,Edith,Luo Yi,Lancelot,Franco,Wanwan
408,Victory,Valentina,Claude,Estes,Akai,Edith
409,Victory,Edith,Beatrix,Pharsa,Kaja,Yi Sun-shin
410,Defeat,Harley,Lancelot,Kadita,Badang,Moskov
411,Defeat,Edith,Cecilion,Franco,Moskov,Lancelot
412,Victory,Edith,Beatrix,Pharsa,Kaja,Yi Sun-shin
413,Defeat,Kagura,Lapu-Lapu,Hanabi,Atlas,Harley
414,Victory,Kagura,Paquito,Lolita,Hanabi,Harley
415,Victory,Harley,Grock,Kagura,Melissa,Atlas
416,Victory,Kagura,Lolita,Claude,Harley,Terizla
417,Defeat,Dyrroth,Minotaur,Kagura,Terizla,Karrie
418,Defeat,Kagura,Hanabi,Hanzo,Yu Zhong,Minotaur
419,Victory,Kagura,Esmeralda,Minotaur,Hanabi,Hanzo
420,Defeat,Wanwan,Hanzo,Terizla,Kagura,Minotaur
421,Defeat,Faramis,Hanabi,Yin,Minotaur,Kagura
422,Victory,Kagura,Hanabi,Terizla,Hanzo,Minotaur
423,Victory,Moskov,Kadita,Kagura,Hanzo,Masha
424,Defeat,Kagura,Uranus,Kaja,Moskov,Ling
425,Victory,Kagura,Kaja,Brody,Dyrroth,Hanzo
426,Victory,Martis,Paquito,Kagura,Beatrix,Khufra
427,Defeat,Kagura,Terizla,Lancelot,Beatrix,Franco
428,Victory,Arlott,Hayabusa,Kadita,Karrie,Kagura
429,Victory,Kagura,Yu Zhong,Faramis,Hayabusa,Beatrix
